----------------------------------------
| act/                      |          |
|    skipped                | 35.5      |
| ops/                      |           |
|    below_reserve_steps    | 0         |
|    blocked_commands       | 0         |
|    brownout_steps         | 0         |
|    completed_share        | 0.546     |
|    critical_done_on_time  | 168       |
|    critical_due           | 334       |
|    critical_on_time_share | 0.504     |
|    episodes               | 84        |
|    jobs_completed         | 660       |
|    jobs_due_missed        | 548       |
|    min_soc_pct            | 39.8      |
|    revenue_usd            | 1.56e+04  |
|    work_lost_steps        | 28.2      |
| rollout/                  |           |
|    ep_len_mean            | 288       |
|    ep_rew_mean            | 2.55e+03  |
| time/                     |           |
|    fps                    | 9         |
|    iterations             | 21        |
|    time_elapsed           | 2469      |
|    total_timesteps        | 24192     |
| train/                    |           |
|    approx_kl              | 4.3728886 |
|    clip_fraction          | 0.235     |
|    clip_range             | 0.2       |
|    entropy_loss           | -3.85     |
|    explained_variance     | 0.981     |
|    learning_rate          | 0.0003    |
|    loss                   | 6.33e+03  |
|    n_updates              | 80        |
|    policy_gradient_loss   | -0.0296   |
|    value_loss             | 1.46e+04  |
-----------------------------------------
-----------------------------------------
| act/                      |           |
|    calibrate_share        | 0.335     |
|    conflicts_repaired     | 1.3e+03   |
|    downlink_slots_used    | 170       |
|    executor_switches      | 71.5      |
|    idle_share             | 0.584     |
|    job_share              | 0.081     |
| events/                   |           |
|    add_jobs               | 0         |
|    close_downlink         | 10.8      |
|    outage                 | 14.8      |
|    skipped                | 29.8      |
| ops/                      |           |
|    below_reserve_steps    | 0         |
|    blocked_commands       | 0         |
|    brownout_steps         | 0         |
|    completed_share        | 0.515     |
|    critical_done_on_time  | 158       |
|    critical_due           | 334       |
|    critical_on_time_share | 0.475     |
|    episodes               | 88        |
|    jobs_completed         | 622       |
|    jobs_due_missed        | 586       |
|    min_soc_pct            | 39.8      |
|    revenue_usd            | 1.47e+04  |
|    work_lost_steps        | 30.2      |
| rollout/                  |           |
|    ep_len_mean            | 288       |
|    ep_rew_mean            | 2.49e+03  |
| time/                     |           |
|    fps                    | 9         |
|    iterations             | 22        |
|    time_elapsed           | 2588      |
|    total_timesteps        | 25344     |
| train/                    |           |
|    approx_kl              | 6.5948405 |
|    clip_fraction          | 0.211     |
|    clip_range             | 0.2       |
|    entropy_loss           | -3.72     |
|    explained_variance     | 0.978     |
|    learning_rate          | 0.0003    |
|    loss                   | 6.14e+03  |
|    n_updates              | 84        |
|    policy_gradient_loss   | -0.0399   |
|    value_loss             | 1.68e+04  |
-----------------------------------------
-----------------------------------------
| act/                      |           |
|    calibrate_share        | 0.295     |
|    conflicts_repaired     | 1.12e+03  |
|    downlink_slots_used    | 157       |
|    executor_switches      | 61        |
|    idle_share             | 0.634     |
|    job_share              | 0.0709    |
| events/                   |           |
|    add_jobs               | 0         |
|    close_downlink         | 8.5       |
|    outage                 | 14.2      |
|    skipped                | 32.2      |
| ops/                      |           |
|    below_reserve_steps    | 0         |
|    blocked_commands       | 0         |
|    brownout_steps         | 0         |
|    completed_share        | 0.457     |
|    critical_done_on_time  | 144       |
|    critical_due           | 334       |
|    critical_on_time_share | 0.43      |
|    episodes               | 92        |
|    jobs_completed         | 552       |
|    jobs_due_missed        | 656       |
|    min_soc_pct            | 39.8      |
|    revenue_usd            | 1.29e+04  |
|    work_lost_steps        | 26.5      |
| rollout/                  |           |
|    ep_len_mean            | 288       |
|    ep_rew_mean            | 2.41e+03  |
| time/                     |           |
|    fps                    | 9         |
|    iterations             | 23        |
|    time_elapsed           | 2708      |
|    total_timesteps        | 26496     |
| train/                    |           |
|    approx_kl              | 6.0153847 |
|    clip_fraction          | 0.247     |
|    clip_range             | 0.2       |
|    entropy_loss           | -3.6      |
|    explained_variance     | 0.975     |
|    learning_rate          | 0.0003    |
|    loss                   | 5.85e+03  |
|    n_updates              | 88        |
|    policy_gradient_loss   | -0.0321   |
|    value_loss             | 2.47e+04  |
-----------------------------------------
----------------------------------------
| act/                      |          |
|    calibrate_share        | 0.258    |
|    conflicts_repaired     | 954      |
|    downlink_slots_used    | 128      |
|    executor_switches      | 51.5     |
|    idle_share             | 0.681    |
|    job_share              | 0.0603   |
| events/                   |          |
|    add_jobs               | 0        |
|    close_downlink         | 6.25     |
|    outage                 | 13.5     |
|    skipped                | 30.5     |
| ops/                      |          |
|    below_reserve_steps    | 0        |
|    blocked_commands       | 0        |
|    brownout_steps         | 0        |
|    completed_share        | 0.385    |
|    critical_done_on_time  | 118      |
|    critical_due           | 334      |
|    critical_on_time_share | 0.353    |
|    episodes               | 96       |
|    jobs_completed         | 466      |
|    jobs_due_missed        | 742      |
|    min_soc_pct            | 39.9     |
|    revenue_usd            | 1.1e+04  |
|    work_lost_steps        | 24       |
| rollout/                  |          |
|    ep_len_mean            | 288      |
|    ep_rew_mean            | 2.31e+03 |
| time/                     |          |
|    fps                    | 9        |
|    iterations             | 24       |
|    time_elapsed           | 2828     |
|    total_timesteps        | 27648    |
| train/                    |          |
|    approx_kl              | 6.201183 |
|    clip_fraction          | 0.24     |
|    clip_range             | 0.2      |
|    entropy_loss           | -3.03    |
|    explained_variance     | 0.971    |
|    learning_rate          | 0.0003   |
|    loss                   | 6.27e+03 |
|    n_updates              | 92       |
|    policy_gradient_loss   | -0.04    |
|    value_loss             | 2.54e+04 |
----------------------------------------
----------------------------------------
| act/                      |          |
|    calibrate_share        | 0.214    |
|    conflicts_repaired     | 768      |
|    downlink_slots_used    | 111      |
|    executor_switches      | 42.5     |
|    idle_share             | 0.734    |
|    job_share              | 0.0516   |
| events/                   |          |
|    add_jobs               | 0        |
|    close_downlink         | 7.25     |
|    outage                 | 16.8     |
|    skipped                | 34       |
| ops/                      |          |
|    below_reserve_steps    | 0        |
|    blocked_commands       | 0        |
|    brownout_steps         | 0        |
|    completed_share        | 0.332    |
|    critical_done_on_time  | 103      |
|    critical_due           | 334      |
|    critical_on_time_share | 0.308    |
|    episodes               | 100      |
|    jobs_completed         | 401      |
|    jobs_due_missed        | 807      |
|    min_soc_pct            | 39.8     |
|    revenue_usd            | 9.43e+03 |
|    work_lost_steps        | 19.8     |
| rollout/                  |          |
|    ep_len_mean            | 288      |
|    ep_rew_mean            | 2.19e+03 |
| time/                     |          |
|    fps                    | 9        |
|    iterations             | 25       |
|    time_elapsed           | 2984     |
|    total_timesteps        | 28800    |
| train/                    |          |
|    approx_kl              | 8.709759 |
|    clip_fraction          | 0.27     |
|    clip_range             | 0.2      |
|    entropy_loss           | -2.75    |
|    explained_variance     | 0.953    |
|    learning_rate          | 0.0003   |
|    loss                   | 2.86e+03 |
|    n_updates              | 96       |
|    policy_gradient_loss   | 0.0146   |
|    value_loss             | 2.44e+04 |
----------------------------------------
